Unnamed: 0,ListingKeyNumeric *,OriginatingSystemKey,ListingID,Geography,MLSAreaMajor,SubdivisionName,ElementarySchool,MiddleOrJuniorSchool,HighSchool,ClosePrice,LotSizeAcres,BuildingAreaTotal,YearBuilt,BasementYN,BathroomsTotalInteger,BathroomsFull,BathroomsHalf,WaterfrontYN,WaterfrontFeatures,PoolPrivateYN,GarageYN,AttachedGarageYN,CarportYN,GarageSpaces,FireplaceYN,FireplacesTotal,LivingArea,Stories,BedroomsTotal,CloseDate,Close_Year,Close_Month,ElemRating,MidRating
2803,550275487,10269466,146374,North of River,(08) North Tuscaloosa County,Four Winds,Huntington,Echols,Tuscaloosa County,600000,0,2988,1972,0,2,2,0,1,"Lake,LakePrivileges",0,0,0,0,0,1,1,2988,1,3,10/8/2021,2021,10,6,5
2804,551883012,10270015,146394,County South,(10) East Tuscaloosa County,,Brookwood,Brookwood,Brookwood,126300,1.42,1250,1950,0,1,1,0,0,,0,1,0,1,2,1,1,1250,1,3,12/6/2021,2021,12,4,4
2805,551907560,10269700,146381,Northport City,(08) North Tuscaloosa County,Clear Creek Colony,Huntington,Echols,Tuscaloosa County,275000,0.4,1707,2006,0,2,2,0,0,,0,1,1,0,2,1,0,1707,1,3,12/9/2021,2021,12,6,5
2806,553558948,10271983,146464,South Tuscaloosa,(05) South East Tuscaloosa City,Heatherwood Gardens,Woodland Forest,Eastwood,Bryant,202500,0,1355,1998,0,2,2,0,0,,0,1,1,0,2,1,0,1355,1,3,11/8/2021,2021,11,3,4
2807,556334269,10273808,146515,County South,(11) South Tuscaloosa County,Sand Creek,Big Sandy,Duncanville,Hillcrest,255000,0,1840,2002,0,2,2,0,0,,0,1,1,0,2,1,0,1840,1,3,11/23/2021,2021,11,6,5
2808,1014913968,10350231,149203,Northport City,(06) Northport City,Huntington Place,Huntington,Echols,Tuscaloosa County,245900,0,1530,1986,0,2,2,0,0,,0,0,0,0,0,1,0,1530,1,3,5/12/2022,2022,5,6,5
2810,279668390,1041643,83794,South Tuscaloosa,(11) South Tuscaloosa County,Maxwell Manor,Englewood,Hillcrest Jr,Hillcrest,159791,0,1742,2011,0,2,2,0,0,,0,1,1,0,2,1,1,1742,1,4,4/13/2012,2012,4,6,5
2812,282860771,1041644,83795,Northport City,(08) North Tuscaloosa County,Belle Meade,Huntington,Echols,Tuscaloosa County,234890,0,3157,2011,0,4,3.5,0.5,0,,0,1,1,0,2,1,0,3157,2,5,3/15/2012,2012,3,6,5
2813,283009156,1030088,105398,East Tuscaloosa,(03) East Tuscaloosa City,Huntland,Woodland Forest,Eastwood,Bryant,139900,0,1734,1977,0,2,2,0,0,,0,0,0,1,0,1,0,1734,1,3,3/30/2016,2016,3,3,4
2815,283009286,1026637,100470,Northport City,(06) Northport City,Rosewood,Flatwoods,Echols,Tuscaloosa County,163777,0,1774,2015,0,2,2,0,0,,0,0,0,0,0,0,0,1774,1,4,11/1/2015,2015,11,4,5
2817,324741053,9435890,128190,County North,(08) North Tuscaloosa County,,Walker,Northside,Northside,215900,3.67,2014,1999,0,3,2.5,0.5,0,,0,1,1,0,2,1,1,2014,1,3,8/22/2018,2018,8,7,6
2820,542106999,10257241,145972,Midtown,(02) Central Tuscaloosa City,Lake Forest,University Place,University Place,Central,199900,0.2,1268,1989,0,2,2,0,0,,0,1,1,0,1,1,1,1268,1,3,10/7/2021,2021,10,3,0
2821,1000016633,10274947,146554,South Tuscaloosa,(03) East Tuscaloosa City,Sherwood Forest,Maxwell,Duncanville,Hillcrest,188350,0,1372,1990,0,2,2,0,0,,0,1,0,1,2,1,0,1372,1,3,11/18/2021,2021,11,5,5
2823,1000043651,10276033,146591,South Tuscaloosa,(11) South Tuscaloosa County,Fields Crossing,Englewood,Hillcrest Jr,Hillcrest,250000,0,1748,2009,0,2,2,0,0,,0,0,0,0,0,1,0,1748,1,3,11/30/2021,2021,11,6,5
2824,1000989429,10277824,146637,Downtown,(01) North of the River City,River Road Cond,Rock Quarry,Northridge,Northridge,169900,0,1121,1968,0,2,2,0,0,,0,0,0,0,0,0,0,1121,1,2,11/29/2021,2021,11,9,6
2825,1001178027,10278138,146659,Northport City,(06) Northport City,Biscayne Hills,Crestmont,Collins Riverside,Tuscaloosa County,230000,0,1910,1974,0,2,2,0,0,,0,0,0,1,0,1,1,1910,1,3,11/22/2021,2021,11,5,3
2826,1001268083,10280144,146724,County South,(10) East Tuscaloosa County,Sandy Creek,Vance,Brookwood,Brookwood,400000,4,2170,2005,0,2,2,0,1,Lake,0,1,1,0,0,1,0,2170,1,4,12/9/2021,2021,12,4,4
2827,1001267329,10279967,146712,South Tuscaloosa,(11) South Tuscaloosa County,Hillcrest Gardens,Big Sandy,Hillcrest Jr,Hillcrest,174000,0,1282,2000,0,2,2,0,0,,0,1,1,0,2,1,1,1282,1,2,12/10/2021,2021,12,6,5
2828,1001273650,10280009,146714,South Tuscaloosa,(11) South Tuscaloosa County,Lenox South,Englewood,Hillcrest Jr,Hillcrest,227000,0.12,1679,2006,0,2,2,0,0,,0,1,1,0,2,1,0,1679,1,3,12/15/2021,2021,12,6,5
2829,1001289989,10280513,146730,South Tuscaloosa,(11) South Tuscaloosa County,Mallard Creek,Englewood,Hillcrest Jr,Hillcrest,260000,0,2267,1992,0,2,2,0,0,,0,1,1,0,2,1,0,2267,1,3,11/9/2021,2021,11,6,5
2830,1001343612,10281511,146775,County South,(11) South Tuscaloosa County,Cherokee Bend,Big Sandy,Duncanville,Hillcrest,218510,0,1355,2021,0,2,2,0,0,,0,1,1,0,2,0,0,1355,1,3,10/28/2021,2021,10,6,5
2832,1001371079,10282175,146806,County South,(09) West Tuscaloosa County,Harvest Meadows,Myrtlewood,Sipsey Valley,Sipsey Valley,242000,0,1573,2021,0,2,2,0,0,,0,1,1,0,2,1,0,1573,1,3,1/28/2022,2022,1,7,6
2833,1001387680,10282097,146802,South Tuscaloosa,(11) South Tuscaloosa County,Ridge Haven,Englewood,Hillcrest Jr,Hillcrest,273000,0,2246,2003,1,3,2.5,0.5,0,,0,1,1,0,0,1,0,2246,1,4,12/14/2021,2021,12,6,5
2834,1001468379,10283215,146838,South Tuscaloosa,(11) South Tuscaloosa County,Braelin Village,Englewood,Hillcrest Jr,Hillcrest,200000,0,1401,2009,0,2,2,0,0,,0,0,0,0,0,0,0,1401,1,3,1/19/2022,2022,1,6,5
2835,1001534616,10284189,146867,South Tuscaloosa,(11) South Tuscaloosa County,Village At Magnolia,Englewood,Hillcrest Jr,Hillcrest,218000,0,1534,2004,0,2,2,0,0,,0,1,0,0,0,1,0,1534,1,3,12/6/2021,2021,12,6,5
2836,1001631041,10284994,146895,Northport City,(08) North Tuscaloosa County,Huntington Place,Huntington,Echols,Tuscaloosa County,235000,0,1434,1986,0,2,2,0,0,,0,1,1,0,2,1,0,1434,1,3,12/10/2021,2021,12,6,5
2837,1001634370,10286248,146937,South Tuscaloosa,(11) South Tuscaloosa County,Other,Maxwell,Hillcrest Jr,Hillcrest,58000,0,1300,1986,0,3,2.5,0.5,0,,0,0,0,0,0,0,0,1300,1,3,11/29/2021,2021,11,5,5
2838,1001667607,10287148,146965,Northport City,(06) Northport City,Harper Creek,Crestmont,Echols,Tuscaloosa County,194300,0,1261,2006,0,2,2,0,0,,0,1,1,0,1,1,0,1261,1,3,12/17/2021,2021,12,5,5
